iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
11,ppo_lognormal,ppo,lognormal,8,-123.30752819676314,28.483869200826238,123.30752819676314,7.344203948974609,6.627749919891357,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-100.67540605757449,100.67540605757449,1.1102230246251565e-15,,,0.0,-0.0045432119208964564,60.94218914849417,2.724799068201156
12,ppo_lognormal,ppo,lognormal,8,-126.70959270523969,28.30763952583972,126.70959270523969,6.917936325073242,9.084245681762695,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-103.56967209749362,103.56967209749362,1.1102230246251565e-15,,,0.0,-0.004257482892301466,63.22720591227213,2.7120030323664346
13,ppo_lognormal,ppo,lognormal,8,-119.83634122264853,22.820860851994976,119.83634122264853,8.177572250366211,8.707648277282715,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-102.73938129915132,102.73938129915132,1.1102230246251565e-15,,,0.0,-0.0016056733826796215,54.42409324645996,2.6997551172971725
14,ppo_lognormal,ppo,lognormal,8,-112.88781565965877,16.065740744949597,112.88781565965877,6.692234516143799,7.102034568786621,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-105.09643015649891,105.09643015649891,1.3322676295501878e-15,,,0.0,-0.0005444753693328017,47.164348783947176,2.688545068814641
15,ppo_lognormal,ppo,lognormal,8,-116.60600798542802,17.78564836301093,116.60600798542802,7.212669849395752,8.390474319458008,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-105.80581625952584,105.80581625952584,1.3322676295501878e-15,,,0.0,-0.002569190426064389,50.429143417449225,2.6747819227831706
16,ppo_lognormal,ppo,lognormal,8,-117.41649806956957,14.385490177752667,117.41649806956957,7.51975679397583,9.96442699432373,1.493767261505127,1.9219356775283813,3.1086244689504383e-15,-104.45494155988374,104.45494155988374,8.881784197001252e-16,,,0.0,-0.002087368546718998,49.50520091965085,2.6641694207986197
17,ppo_lognormal,ppo,lognormal,8,-114.3831562971426,13.776054808383632,114.3831562971426,7.699889659881592,9.67213249206543,1.493767261505127,1.9219356775283813,2.6645352591003757e-15,-102.93055733338394,102.93055733338394,8.881784197001252e-16,,,0.0,-0.0020516394565458455,46.575539736520675,2.6533336483296894
18,ppo_lognormal,ppo,lognormal,8,-107.8757111810871,12.108077088782675,107.8757111810871,6.892359733581543,7.723865509033203,1.493767261505127,1.9219356775283813,1.7763568394002505e-15,-104.41956731952584,104.41956731952584,1.1102230246251565e-15,,,0.0,-0.0005485818006231316,40.11822787920634,2.644486590510323
19,ppo_lognormal,ppo,lognormal,8,-105.40786830672522,10.445398667033773,105.40786830672522,7.49937629699707,8.19710922241211,1.493767261505127,1.9219356775283813,2.220446049250313e-15,-104.680248218243,104.680248218243,8.881784197001252e-16,,,0.0,-0.00221078396619608,37.76189490727016,2.6368926032668067
20,ppo_lognormal,ppo,lognormal,8,-110.23237756670333,12.893681732807693,110.23237756670333,7.698905944824219,9.609947204589844,1.493767261505127,1.9219356775283813,1.9984014443252818e-15,-101.12528050995712,101.12528050995712,1.1102230246251565e-15,,,0.0,-0.0003425736559577109,41.150998263132,2.6288628365312303
