iteration,episode,model,scenario_seed,sampled_from_distribution,component,pv_capacity_kwp,battery_capacity_kwh,reward_chf,cost_chf,max_power_balance_error_kw
1,1,ppo_lognormal,42,True,3.0,12.0,5.604352951049805,-148.0681467016867,148.0681467016867,1.3322676295501878e-15
1,2,ppo_lognormal,43,True,5.0,4.580022811889648,3.5663609504699707,-124.06674922181506,124.06674922181506,8.881784197001252e-16
1,3,ppo_lognormal,44,True,6.0,2.945779800415039,2.095294952392578,-119.89263796290253,119.89263796290253,8.881784197001252e-16
1,4,ppo_lognormal,45,True,4.0,11.233621597290039,20.0,-326.81255057799586,326.81255057799586,2.6645352591003757e-15
1,5,ppo_lognormal,46,True,0.0,3.7268729209899902,5.678570747375488,-159.59626379496686,159.59626379496686,1.7763568394002505e-15
1,6,ppo_lognormal,47,True,4.0,6.7062859535217285,9.355467796325684,-215.13305236509015,215.13305236509015,1.1102230246251565e-15
1,7,ppo_lognormal,48,True,7.0,4.5557475090026855,11.485595703125,-236.52198467864403,236.52198467864403,1.7763568394002505e-15
1,8,ppo_lognormal,49,True,5.0,9.552726745605469,2.9665324687957764,-131.3727250245833,131.3727250245833,8.881784197001252e-16
1,9,ppo_lognormal,50,True,3.0,2.786919355392456,1.6151045560836792,-140.65573212330997,140.65573212330997,1.3322676295501878e-15
1,10,ppo_lognormal,51,True,2.0,2.2846457958221436,1.927159070968628,-127.43908765297994,127.43908765297994,8.881784197001252e-16
1,11,ppo_lognormal,52,True,0.0,9.496353149414062,3.246115207672119,-132.1400984228926,132.1400984228926,4.440892098500626e-16
1,12,ppo_lognormal,53,True,7.0,11.605486869812012,20.0,-309.40524597649437,309.40524597649437,2.6645352591003757e-15
1,13,ppo_lognormal,54,True,5.0,8.611810684204102,1.5084238052368164,-94.32797302605506,94.32797302605506,8.881784197001252e-16
1,14,ppo_lognormal,55,True,4.0,12.0,16.281496047973633,-290.7671206079521,290.7671206079521,2.220446049250313e-15
1,15,ppo_lognormal,56,True,2.0,4.058752059936523,0.8726605176925659,-111.53191038813667,111.53191038813667,4.440892098500626e-16
1,16,ppo_lognormal,57,True,6.0,12.0,9.156091690063477,-188.86811758450042,188.86811758450042,1.3322676295501878e-15
1,17,ppo_lognormal,58,True,7.0,6.631770610809326,16.083404541015625,-255.12143255052254,255.12143255052254,2.220446049250313e-15
1,18,ppo_lognormal,59,True,4.0,12.0,11.285579681396484,-196.6523882264833,196.6523882264833,2.220446049250313e-15
1,19,ppo_lognormal,60,True,7.0,5.994109153747559,11.365104675292969,-228.11251748323875,228.11251748323875,1.7763568394002505e-15
1,20,ppo_lognormal,61,True,2.0,2.025116443634033,13.15110969543457,-235.27689731760415,235.27689731760415,1.5543122344752192e-15
1,21,ppo_lognormal,62,True,2.0,1.0074684619903564,0.9744178652763367,-141.5501855335904,141.5501855335904,8.881784197001252e-16
1,22,ppo_lognormal,63,True,1.0,9.357789993286133,2.655052661895752,-104.978751128964,104.978751128964,1.3322676295501878e-15
1,23,ppo_lognormal,64,True,4.0,6.683108329772949,16.061344146728516,-246.42722069611443,246.42722069611443,1.7763568394002505e-15
