iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,policy_loss,value_loss,action_entropy
32,ppo_gmm,ppo,gaussian,8,-102.90816367065989,7.849279412294573,102.90816367065989,7.650805473327637,7.710835933685303,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-102.48699370581498,102.48699370581498,1.1102230246251565e-15,,,0.0,0.0004494945723785176,31.74728533199855,2.523398512176105
33,ppo_gmm,ppo,gaussian,8,-103.56713069386717,9.505112577575984,103.56713069386717,8.268508911132812,7.178089618682861,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.8728910004009,103.8728910004009,8.881784197001252e-16,,,0.0,-0.00021197558436099263,31.751788610503787,2.517977850777762
34,ppo_gmm,ppo,gaussian,8,-100.6121862215688,9.503558798171541,100.6121862215688,6.967695236206055,5.654159069061279,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-102.46706383404303,102.46706383404303,1.1102230246251565e-15,,,0.0,0.0009177271498455888,29.833013568605697,2.5136915360178267
35,ppo_gmm,ppo,gaussian,8,-103.01133125863004,11.497109514440659,103.01133125863004,7.452770233154297,6.504905700683594,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-104.64014408908733,104.64014408908733,8.881784197001252e-16,,,0.0,-0.003053168559701936,31.343631960096815,2.5081638246774673
36,ppo_gmm,ppo,gaussian,8,-102.71965059100995,10.055560999087398,102.71965059100995,8.382340431213379,8.76098346710205,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-103.02337204424555,103.02337204424555,8.881784197001252e-16,,,0.0,0.0010498337616722676,30.726006513550168,2.5009745132355463
37,ppo_gmm,ppo,gaussian,8,-103.57883414898535,11.300889883420346,103.57883414898535,6.338135242462158,7.7606964111328125,5.558095932006836,5.14385986328125,2.220446049250313e-15,-103.25017959548347,103.25017959548347,1.1102230246251565e-15,,,0.0,0.0006409116391469503,30.920898443176632,2.4929919959533784
38,ppo_gmm,ppo,gaussian,8,-104.37649123786215,9.794120088334825,104.37649123786215,7.2617878913879395,7.875249862670898,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-103.02158745759144,103.02158745759144,8.881784197001252e-16,,,0.0,-0.00015295639223906967,31.4854409240541,2.486238261773473
39,ppo_gmm,ppo,gaussian,8,-105.22178171374242,11.17300840513945,105.22178171374242,6.944838523864746,9.465259552001953,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-101.16887166891982,101.16887166891982,8.881784197001252e-16,,,0.0,0.0004431222665256688,31.92210582324437,2.479720259706179
40,ppo_gmm,ppo,gaussian,8,-104.76136012503538,9.447026204688493,104.76136012503538,7.199380874633789,7.675589084625244,5.558095932006836,5.14385986328125,1.7763568394002505e-15,-100.5666422314815,100.5666422314815,1.1102230246251565e-15,,,0.0,-0.0002809760182918537,31.052764989080885,2.473725994427999
41,ppo_gmm,ppo,gaussian,8,-102.93129280139809,10.001550628621036,102.93129280139809,6.893500804901123,6.490056991577148,5.558095932006836,5.14385986328125,1.3322676295501878e-15,-101.71473780297566,101.71473780297566,1.1102230246251565e-15,,,0.0,-0.00020985385136944906,29.400965253512066,2.4656350924855186
42,ppo_gmm,ppo,gaussian,8,-104.7896224560843,8.86639721488544,104.7896224560843,5.779115676879883,7.127872467041016,5.558095932006836,5.14385986328125,2.6645352591003757e-15,-103.57466010676285,103.57466010676285,8.881784197001252e-16,,,0.0,-0.0010148458642929438,30.43955727985927,2.4627259018875303
