iteration,episode,model,scenario_seed,sampled_from_distribution,component,pv_capacity_kwp,battery_capacity_kwh,reward_chf,cost_chf,max_power_balance_error_kw
1,1,ppo_gmm,42,True,3.0,12.0,7.723068714141846,-172.7993503075076,172.7993503075076,1.3322676295501878e-15
1,2,ppo_gmm,43,True,5.0,6.512979507446289,2.992053508758545,-114.03991938023198,114.03991938023198,8.881784197001252e-16
1,3,ppo_gmm,44,True,6.0,2.760638952255249,0.0,-117.36981025547888,117.36981025547888,4.440892098500626e-16
1,4,ppo_gmm,45,True,4.0,9.731405258178711,20.0,-327.2900010905015,327.2900010905015,2.220446049250313e-15
1,5,ppo_gmm,46,True,0.0,3.7131452560424805,5.904697895050049,-162.21842092506117,162.21842092506117,1.7763568394002505e-15
1,6,ppo_gmm,47,True,4.0,7.350168704986572,10.086594581604004,-222.6048199636677,222.6048199636677,1.3322676295501878e-15
1,7,ppo_gmm,48,True,7.0,4.819993495941162,12.168781280517578,-243.7004363593787,243.7004363593787,1.7763568394002505e-15
1,8,ppo_gmm,49,True,5.0,9.906305313110352,1.5753097534179688,-122.38709465352089,122.38709465352089,8.881784197001252e-16
1,9,ppo_gmm,50,True,3.0,2.706322193145752,0.0,-125.97386593945747,125.97386593945747,8.881784197001252e-16
1,10,ppo_gmm,51,True,2.0,1.986526370048523,0.0,-124.08768330637703,124.08768330637703,8.881784197001252e-16
1,11,ppo_gmm,52,True,0.0,8.03066635131836,1.602273941040039,-120.20900609085722,120.20900609085722,4.440892098500626e-16
1,12,ppo_gmm,53,True,7.0,9.136362075805664,20.0,-313.3469616960757,313.3469616960757,2.6645352591003757e-15
1,13,ppo_gmm,54,True,5.0,9.42766284942627,0.0,-89.51066091340243,89.51066091340243,8.881784197001252e-16
1,14,ppo_gmm,55,True,4.0,11.553662300109863,14.349226951599121,-267.95186156945294,267.95186156945294,2.220446049250313e-15
1,15,ppo_gmm,56,True,2.0,4.639178276062012,0.0,-99.53524715066959,99.53524715066959,4.440892098500626e-16
1,16,ppo_gmm,57,True,6.0,12.0,9.456161499023438,-192.44269160882064,192.44269160882064,1.3322676295501878e-15
1,17,ppo_gmm,58,True,7.0,6.553219318389893,14.759082794189453,-240.03368398686055,240.03368398686055,1.3322676295501878e-15
1,18,ppo_gmm,59,True,4.0,11.902278900146484,11.529592514038086,-199.2470076284543,199.2470076284543,1.3322676295501878e-15
1,19,ppo_gmm,60,True,7.0,6.086566925048828,12.087648391723633,-236.3580039958425,236.3580039958425,1.7763568394002505e-15
1,20,ppo_gmm,61,True,2.0,1.429911732673645,13.841217041015625,-247.246780714746,247.246780714746,1.5543122344752192e-15
1,21,ppo_gmm,62,True,2.0,0.0,0.0,-142.85296956066256,142.85296956066256,8.881784197001252e-16
1,22,ppo_gmm,63,True,1.0,9.716231346130371,0.0,-95.3345157693138,95.3345157693138,4.440892098500626e-16
1,23,ppo_gmm,64,True,4.0,7.3341875076293945,14.244490623474121,-224.28520597029222,224.28520597029222,1.7763568394002505e-15
1,24,ppo_gmm,65,True,3.0,9.205041885375977,0.0,-106.10117269084142,106.10117269084142,4.440892098500626e-16
1,25,ppo_gmm,66,True,0.0,0.0,8.34831428527832,-209.15008497631828,209.15008497631828,8.881784197001252e-16
1,26,ppo_gmm,67,True,2.0,0.6422134637832642,1.7319852113723755,-141.98929036544197,141.98929036544197,8.881784197001252e-16
1,27,ppo_gmm,68,True,2.0,0.0,8.520576477050781,-198.31854872548766,198.31854872548766,8.881784197001252e-16
1,28,ppo_gmm,69,True,7.0,7.631008148193359,16.190540313720703,-299.5281066444974,299.5281066444974,1.3322676295501878e-15
1,29,ppo_gmm,70,True,7.0,9.773200035095215,12.099812507629395,-223.74275111952366,223.74275111952366,3.1086244689504383e-15
1,30,ppo_gmm,71,True,5.0,12.0,0.0,-118.33936887502018,118.33936887502018,4.440892098500626e-16
1,31,ppo_gmm,72,True,0.0,2.1399083137512207,1.641676902770996,-139.64861119373361,139.64861119373361,1.7763568394002505e-15
1,32,ppo_gmm,73,True,4.0,5.037559986114502,17.698760986328125,-313.43171400453673,313.43171400453673,2.886579864025407e-15
2,1,ppo_gmm,10042,True,3.0,10.300044059753418,0.0,-94.37118090831287,94.37118090831287,8.881784197001252e-16
2,2,ppo_gmm,10043,True,6.0,5.20296573638916,15.904197692871094,-280.6605727371527,280.6605727371527,2.6645352591003757e-15
2,3,ppo_gmm,10044,True,7.0,5.660396575927734,7.68943977355957,-174.49189524333843,174.49189524333843,1.3322676295501878e-15
2,4,ppo_gmm,10045,True,3.0,4.912984371185303,5.522706985473633,-152.20808347144487,152.20808347144487,8.881784197001252e-16
2,5,ppo_gmm,10046,True,4.0,10.817794799804688,20.0,-285.3426801425856,285.3426801425856,2.220446049250313e-15
2,6,ppo_gmm,10047,True,6.0,4.3283281326293945,16.90675163269043,-307.7594208857317,307.7594208857317,2.4424906541753444e-15
2,7,ppo_gmm,10048,True,4.0,9.037275314331055,20.0,-292.98042509039044,292.98042509039044,1.9984014443252818e-15
2,8,ppo_gmm,10049,True,5.0,12.0,0.0,-110.40949762252372,110.40949762252372,8.881784197001252e-16
2,9,ppo_gmm,10050,True,3.0,7.135866165161133,8.497979164123535,-179.08155408779913,179.08155408779913,1.3322676295501878e-15
2,10,ppo_gmm,10051,True,1.0,9.323328018188477,11.383995056152344,-185.4605758731251,185.4605758731251,1.3322676295501878e-15
2,11,ppo_gmm,10052,True,2.0,9.358864784240723,2.841249704360962,-108.50817660769012,108.50817660769012,4.440892098500626e-16
2,12,ppo_gmm,10053,True,3.0,7.822989463806152,0.0,-97.54682822408708,97.54682822408708,4.440892098500626e-16
2,13,ppo_gmm,10054,True,5.0,8.207926750183105,10.834941864013672,-190.52207188757492,190.52207188757492,1.1102230246251565e-15
2,14,ppo_gmm,10055,True,6.0,3.890192985534668,16.75094985961914,-286.4452854060674,286.4452854060674,1.5543122344752192e-15
2,15,ppo_gmm,10056,True,3.0,10.56258773803711,5.437286853790283,-134.54680666209433,134.54680666209433,1.3322676295501878e-15
2,16,ppo_gmm,10057,True,4.0,6.762552738189697,9.152695655822754,-198.3491662059057,198.3491662059057,8.881784197001252e-16
2,17,ppo_gmm,10058,True,3.0,12.0,11.784466743469238,-193.55788902915214,193.55788902915214,1.7763568394002505e-15
2,18,ppo_gmm,10059,True,7.0,3.9329397678375244,12.044307708740234,-221.26183478844345,221.26183478844345,1.7763568394002505e-15
2,19,ppo_gmm,10060,True,1.0,12.0,1.3534040451049805,-104.8028861125877,104.8028861125877,6.661338147750939e-16
2,20,ppo_gmm,10061,True,4.0,7.460801601409912,11.864418983459473,-211.06989808161595,211.06989808161595,1.3322676295501878e-15
2,21,ppo_gmm,10062,True,3.0,0.5444984436035156,0.6133997440338135,-139.44288527114873,139.44288527114873,8.881784197001252e-16
2,22,ppo_gmm,10063,True,1.0,7.483567714691162,0.0,-109.7705712424375,109.7705712424375,4.440892098500626e-16
2,23,ppo_gmm,10064,True,2.0,6.57327127456665,9.247528076171875,-190.1053496002394,190.1053496002394,1.7763568394002505e-15
2,24,ppo_gmm,10065,True,1.0,10.341032028198242,10.846813201904297,-195.25633606550315,195.25633606550315,1.3322676295501878e-15
2,25,ppo_gmm,10066,True,2.0,4.730726718902588,5.32294225692749,-158.3777515594144,158.3777515594144,1.3322676295501878e-15
2,26,ppo_gmm,10067,True,2.0,8.729490280151367,3.233478546142578,-126.75672189894702,126.75672189894702,6.661338147750939e-16
2,27,ppo_gmm,10068,True,7.0,2.6768147945404053,4.298443794250488,-152.46029046157878,152.46029046157878,1.3322676295501878e-15
2,28,ppo_gmm,10069,True,3.0,0.0,6.916985034942627,-181.82391144393367,181.82391144393367,8.881784197001252e-16
2,29,ppo_gmm,10070,True,5.0,3.0329999923706055,4.898780345916748,-150.13291779615244,150.13291779615244,1.1102230246251565e-15
2,30,ppo_gmm,10071,True,5.0,12.0,8.919689178466797,-155.9334405488336,155.9334405488336,1.3322676295501878e-15
