iteration,model,algorithm,design_distribution,active_components,mean_reward_chf,std_reward_chf,mean_cost_chf,mean_pv_capacity_kwp,mean_battery_capacity_kwh,mode_pv_capacity_kwp,mode_battery_capacity_kwh,max_power_balance_error_kw,validation_mean_reward_chf,validation_mean_cost_chf,validation_max_power_balance_error_kw,design_loss,design_entropy,design_entropy_weight,actor_loss,critic_loss
11,ddpg_lognormal,ddpg,lognormal,3,-106.02199697487382,9.641004811225482,106.02199697487382,2.7747578620910645,1.7669336795806885,0.4273199439048767,0.40596646070480347,8.881784197001252e-16,-101.26758382771933,101.26758382771933,8.881784197001252e-16,-361.51953125,3.441760540008545,0.0096,26.164375983533404,4.34862902906302
12,ddpg_lognormal,ddpg,lognormal,3,-101.7928543535167,10.987680277840242,101.7928543535167,2.2184839248657227,3.428128719329834,0.427598774433136,0.4062082767486572,8.881784197001252e-16,-103.21338564536393,103.21338564536393,8.881784197001252e-16,-386.7973327636719,3.749382972717285,0.009559999999999999,25.977951757255056,4.3149083234658026
13,ddpg_lognormal,ddpg,lognormal,3,-101.72226598060809,12.360383721727931,101.72226598060809,3.69435977935791,2.0295777320861816,0.42786505818367004,0.4062838852405548,2.220446049250313e-15,-102.0562692265301,102.0562692265301,6.661338147750939e-16,-394.3957824707031,3.8113396167755127,0.009519999999999999,25.81805305608681,4.269285713655076
14,ddpg_lognormal,ddpg,lognormal,3,-99.97841280595011,9.800279863413277,99.97841280595011,2.428809642791748,1.545804500579834,0.42825883626937866,0.40655380487442017,8.881784197001252e-16,-105.34541576667425,105.34541576667425,8.881784197001252e-16,-326.1396484375,3.2784502506256104,0.00948,25.2903591884034,4.188454010268851
15,ddpg_lognormal,ddpg,lognormal,3,-100.36675260804572,9.418421956268443,100.36675260804572,2.0337061882019043,1.5680261850357056,0.4286431074142456,0.4068831205368042,8.881784197001252e-16,-102.53663924920014,102.53663924920014,6.661338147750939e-16,-316.62811279296875,3.1813173294067383,0.00944,25.177455842494965,4.111746111197308
16,ddpg_lognormal,ddpg,lognormal,3,-107.65914459392246,19.44223120938815,107.65914459392246,4.694518089294434,2.3578875064849854,0.4290126860141754,0.4071199297904968,2.6645352591003757e-15,-103.71952910997976,103.71952910997976,8.881784197001252e-16,-473.9243469238281,4.112431049346924,0.0094,25.057996437663125,4.071649358679895
17,ddpg_lognormal,ddpg,lognormal,3,-102.83357214099006,8.425293576285647,102.83357214099006,2.0420265197753906,1.65305495262146,0.42914971709251404,0.4072970747947693,8.881784197001252e-16,-102.2378183368248,102.2378183368248,4.440892098500626e-16,-318.170654296875,3.1515955924987793,0.00936,24.902752562292985,4.057691696781798
18,ddpg_lognormal,ddpg,lognormal,3,-100.37692479212302,7.697978382873585,100.37692479212302,2.6571905612945557,2.0197863578796387,0.4292958080768585,0.407512366771698,8.881784197001252e-16,-102.87425322197086,102.87425322197086,8.881784197001252e-16,-362.80517578125,3.6212894916534424,0.00932,24.649217787597863,4.060423563223421
19,ddpg_lognormal,ddpg,lognormal,3,-99.46724089907572,8.77450635428885,99.46724089907572,2.464883804321289,1.824501872062683,0.4292103350162506,0.4078250229358673,8.881784197001252e-16,-104.87614954002126,104.87614954002126,8.881784197001252e-16,-338.8720397949219,3.3805036544799805,0.00928,24.900722001634893,4.036008326913275
20,ddpg_lognormal,ddpg,lognormal,3,-101.63602590628554,8.402078334940237,101.63602590628554,3.3562817573547363,1.5187113285064697,0.42925846576690674,0.4079749584197998,8.881784197001252e-16,-100.54754259501294,100.54754259501294,4.440892098500626e-16,-364.75885009765625,3.601400375366211,0.00924,25.268785142827603,4.2752343636627
