iteration,model,distribution,parameter_space,component,active,weight,pv_location,pv_scale,battery_location,battery_scale
0,ddpg_lognormal,lognormal,log,0,True,0.3333333134651184,0.4539682865142822,1.0,0.19649124145507812,1.0
0,ddpg_lognormal,lognormal,log,1,True,0.3333333134651184,0.9210357069969177,1.0,0.3461790680885315,1.0
0,ddpg_lognormal,lognormal,log,2,True,0.3333333134651184,0.14808779954910278,1.0,0.08581888675689697,1.0
1,ddpg_lognormal,lognormal,log,0,True,0.3335554897785187,0.45496824383735657,0.9990004897117615,0.1954912394285202,0.9990004897117615
1,ddpg_lognormal,lognormal,log,1,True,0.33288905024528503,0.920035719871521,0.9990004897117615,0.34517908096313477,0.9990004897117615
1,ddpg_lognormal,lognormal,log,2,True,0.3335554897785187,0.1490878015756607,0.9990004897117615,0.08481888473033905,0.9990004897117615
2,ddpg_lognormal,lognormal,log,0,True,0.33370524644851685,0.4542248547077179,0.999002993106842,0.19551029801368713,0.9986386895179749
2,ddpg_lognormal,lognormal,log,1,True,0.33250534534454346,0.9190344214439392,0.998760998249054,0.34531906247138977,0.9981445074081421
2,ddpg_lognormal,lognormal,log,2,True,0.3337893784046173,0.14845848083496094,0.9987331032752991,0.08463504910469055,0.9989659190177917
3,ddpg_lognormal,lognormal,log,0,True,0.33385738730430603,0.4536035656929016,0.9990148544311523,0.19592124223709106,0.9979438781738281
3,ddpg_lognormal,lognormal,log,1,True,0.33221256732940674,0.9180771708488464,0.9983205795288086,0.34585440158843994,0.9973239898681641
3,ddpg_lognormal,lognormal,log,2,True,0.33393001556396484,0.1478889137506485,0.9989973306655884,0.08500498533248901,0.9983522891998291
4,ddpg_lognormal,lognormal,log,0,True,0.3339947462081909,0.4532957375049591,0.9989085793495178,0.19658511877059937,0.9975793361663818
4,ddpg_lognormal,lognormal,log,1,True,0.3321380615234375,0.9173930883407593,0.9979652762413025,0.34658148884773254,0.9972037076950073
4,ddpg_lognormal,lognormal,log,2,True,0.3338673412799835,0.1476842761039734,0.9989189505577087,0.0856499895453453,0.99784255027771
5,ddpg_lognormal,lognormal,log,0,True,0.33394327759742737,0.45338526368141174,0.9991415143013,0.19720861315727234,0.9971224665641785
5,ddpg_lognormal,lognormal,log,1,True,0.3322690725326538,0.9174355864524841,0.9977943897247314,0.3472992181777954,0.9972085356712341
5,ddpg_lognormal,lognormal,log,2,True,0.33378762006759644,0.14764705300331116,0.9993056654930115,0.08625656366348267,0.9971994161605835
6,ddpg_lognormal,lognormal,log,0,True,0.33384770154953003,0.4536421000957489,0.9995821714401245,0.19770093262195587,0.9970082640647888
6,ddpg_lognormal,lognormal,log,1,True,0.33246344327926636,0.9177719950675964,0.9979609251022339,0.34771135449409485,0.9974408745765686
6,ddpg_lognormal,lognormal,log,2,True,0.3336888551712036,0.14775487780570984,0.9997040629386902,0.0867803618311882,0.9968894720077515
7,ddpg_lognormal,lognormal,log,0,True,0.3337320387363434,0.4541558027267456,0.9998639225959778,0.1982516199350357,0.9969246983528137
7,ddpg_lognormal,lognormal,log,1,True,0.33273041248321533,0.9182811379432678,0.9979683756828308,0.3481542468070984,0.9976715445518494
7,ddpg_lognormal,lognormal,log,2,True,0.3335375487804413,0.1481700986623764,1.0001298189163208,0.08736147731542587,0.9966455101966858
8,ddpg_lognormal,lognormal,log,0,True,0.3336961567401886,0.45448723435401917,0.9997988343238831,0.19888265430927277,0.9967244267463684
8,ddpg_lognormal,lognormal,log,1,True,0.33291095495224,0.9184923768043518,0.9978320002555847,0.3487567603588104,0.9977719187736511
8,ddpg_lognormal,lognormal,log,2,True,0.3333928883075714,0.1485123485326767,1.0002554655075073,0.08801306039094925,0.9962767362594604
9,ddpg_lognormal,lognormal,log,0,True,0.3337133824825287,0.45490214228630066,0.99955815076828,0.19941069185733795,0.9964442253112793
